City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hồ Chí Minh,Quận 10,Phường 15,Hẻm 575 Cách Mạng Tháng Tám,"Cách mạng tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",49.0,18.5,377551.02040816325
Hồ Chí Minh,Quận 3,Phường 2,Nguyễn Thị Minh Khai,"488, Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",528.0,205.0,388257.57575757575
Hồ Chí Minh,Quận 5,Phường 3,Nguyễn Trãi,"131-133, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",3200.0,700.0,218750.0
Đồng Nai,Biên Hòa,Trảng Dài,Tỉnh 768B,"Đường 768b, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",560.0,22.0,39285.71428571428
Hồ Chí Minh,Tân Bình,Phường 11,Bàu Cát,"bàu cát 8, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",130.0,25.0,192307.6923076923
Hồ Chí Minh,Tân Phú,Tân Thành,Lũy Bán Bích,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",32.0,13.0,406250.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thị Minh Khai,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",504.0,180.0,357142.8571428572
Hồ Chí Minh,Quận 10,Phường 12,3 Tháng 2,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",330.0,100.0,303030.30303030304
Hồ Chí Minh,Quận 1,Bến Nghé,Ngô Văn Năm,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",500.0,110.0,220000.0
Hồ Chí Minh,Tân Phú,Phú Thọ Hòa,Nguyễn Sơn,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",90.0,16.0,177777.77777777778
Hồ Chí Minh,Gò Vấp,Phường 14,59,"14, Đường Số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",30.0,6.5,216666.66666666663
Hồ Chí Minh,Quận 3,Phường 3,Bàn Cờ,"Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",40.0,28.0,700000.0
Hồ Chí Minh,Tân Phú,Hiệp Tân,Hòa Bình,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",44.0,22.0,500000.0
Hồ Chí Minh,Quận 1,Bến Thành,Lê Thánh Tôn,"Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",250.0,170.0,680000.0
Hồ Chí Minh,Quận 3,Phường 2,Hẻm 491/5 Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",200.0,28.0,140000.0
Đà Nẵng,Thanh Khê,An Khê,Nguyễn Phước Nguyên,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",225.0,7.0,31111.11111111111
Hồ Chí Minh,Quận 10,Phường 12,Sư Vạn Hạnh,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",400.0,59.0,147500.0
Hồ Chí Minh,Phú Nhuận,Phường 13,Lê Văn Sỹ,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",80.0,30.0,375000.0
Hà Nội,Nam Từ Liêm,Cầu Diễn,Phúc Diễn,"Đường Phú Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",150.0,21.0,140000.0
Hà Nội,Cầu Giấy,Dịch Vọng,Thọ Tháp,"Thọ Tháp, Dịch Vọng Hậu",60.0,14.0,233333.3333333333
Đồng Nai,Biên Hòa,Tân Hòa,Hoàng Văn Bổn,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",1700.0,50.0,29411.76470588236
Cần Thơ,Ninh Kiều,An Hòa,Võ Văn Kiệt,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",450.0,32.99999999999999,73333.33333333333
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Trần Quốc Thảo,"Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",40.0,19.0,475000.0
Hồ Chí Minh,Quận 7,Tân Quy,Mai Văn Vĩnh,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",225.0,20.0,88888.88888888889
Hồ Chí Minh,Thủ Đức,Bình Trưng Đông,Nguyễn Duy Trinh,"601, Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",142.0,55.0,387323.94366197183
Hà Nội,Bắc Từ Liêm,Phúc Diễn,Cầu Diễn,"Đường Cầu Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",300.0,24.0,80000.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thành Ý,"Đường Nguyễn Thành Ý, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",260.0,120.0,461538.4615384616
Hồ Chí Minh,Quận 11,Phường 12,3 Tháng 2,"1486A, Đường 3/2, Phường 2, Quận 11, Tp Hồ Chí Minh",20.0,4.0,200000.0
Hồ Chí Minh,Quận 10,Phường 15,Hẻm 575 Cách Mạng Tháng Tám,"Cách mạng tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",49.0,18.5,377551.02040816325
Hồ Chí Minh,Quận 3,Phường 2,Nguyễn Thị Minh Khai,"488, Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",528.0,205.0,388257.57575757575
Hồ Chí Minh,Quận 5,Phường 3,Nguyễn Trãi,"131-133, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",3200.0,700.0,218750.0
Đồng Nai,Biên Hòa,Trảng Dài,Tỉnh 768B,"Đường 768b, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",560.0,22.0,39285.71428571428
Hồ Chí Minh,Tân Bình,Phường 11,Bàu Cát,"bàu cát 8, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",130.0,25.0,192307.6923076923
Hồ Chí Minh,Tân Phú,Tân Thành,Lũy Bán Bích,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",32.0,13.0,406250.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thị Minh Khai,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",504.0,180.0,357142.8571428572
Hồ Chí Minh,Quận 10,Phường 12,3 Tháng 2,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",330.0,100.0,303030.30303030304
Hồ Chí Minh,Quận 1,Bến Nghé,Ngô Văn Năm,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",500.0,110.0,220000.0
Hồ Chí Minh,Tân Phú,Phú Thọ Hòa,Nguyễn Sơn,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",90.0,16.0,177777.77777777778
Hồ Chí Minh,Gò Vấp,Phường 14,59,"14, Đường Số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",30.0,6.5,216666.66666666663
Hồ Chí Minh,Quận 3,Phường 3,Bàn Cờ,"Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",40.0,28.0,700000.0
Hồ Chí Minh,Tân Phú,Hiệp Tân,Hòa Bình,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",44.0,22.0,500000.0
Hồ Chí Minh,Quận 1,Bến Thành,Lê Thánh Tôn,"Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",250.0,170.0,680000.0
Hồ Chí Minh,Quận 3,Phường 2,Hẻm 491/5 Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",200.0,28.0,140000.0
Đà Nẵng,Thanh Khê,An Khê,Nguyễn Phước Nguyên,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",225.0,7.0,31111.11111111111
Hồ Chí Minh,Quận 10,Phường 12,Sư Vạn Hạnh,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",400.0,59.0,147500.0
Hồ Chí Minh,Phú Nhuận,Phường 13,Lê Văn Sỹ,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",80.0,30.0,375000.0
Hà Nội,Nam Từ Liêm,Cầu Diễn,Phúc Diễn,"Đường Phú Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",150.0,21.0,140000.0
Cần Thơ,Ninh Kiều,An Hòa,Võ Văn Kiệt,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",450.0,32.99999999999999,73333.33333333333
Hà Nội,Cầu Giấy,Dịch Vọng,Thọ Tháp,"Thọ Tháp, Dịch Vọng Hậu",60.0,14.0,233333.3333333333
Đồng Nai,Biên Hòa,Tân Hòa,Hoàng Văn Bổn,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",1700.0,50.0,29411.76470588236
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Trần Quốc Thảo,"Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",40.0,19.0,475000.0
Hồ Chí Minh,Quận 7,Tân Quy,Mai Văn Vĩnh,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",225.0,20.0,88888.88888888889
Hồ Chí Minh,Thủ Đức,Bình Trưng Đông,Nguyễn Duy Trinh,"601, Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",142.0,55.0,387323.94366197183
Hà Nội,Bắc Từ Liêm,Phúc Diễn,Cầu Diễn,"Đường Cầu Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",300.0,24.0,80000.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thành Ý,"Đường Nguyễn Thành Ý, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",260.0,120.0,461538.4615384616
Hồ Chí Minh,Quận 11,Phường 12,3 Tháng 2,"1486A, Đường 3/2, Phường 2, Quận 11, Tp Hồ Chí Minh",20.0,4.0,200000.0
Hồ Chí Minh,Quận 10,Phường 15,Hẻm 575 Cách Mạng Tháng Tám,"Cách mạng tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",49.0,18.5,377551.02040816325
Hồ Chí Minh,Quận 3,Phường 2,Nguyễn Thị Minh Khai,"488, Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",528.0,205.0,388257.57575757575
Hồ Chí Minh,Quận 5,Phường 3,Nguyễn Trãi,"131-133, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",3200.0,700.0,218750.0
Đồng Nai,Biên Hòa,Trảng Dài,Tỉnh 768B,"Đường 768b, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",560.0,22.0,39285.71428571428
Hồ Chí Minh,Tân Bình,Phường 11,Bàu Cát,"bàu cát 8, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",130.0,25.0,192307.6923076923
Hồ Chí Minh,Tân Phú,Tân Thành,Lũy Bán Bích,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",32.0,13.0,406250.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thị Minh Khai,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",504.0,180.0,357142.8571428572
Hồ Chí Minh,Quận 10,Phường 12,3 Tháng 2,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",330.0,100.0,303030.30303030304
Hồ Chí Minh,Quận 1,Bến Nghé,Ngô Văn Năm,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",500.0,110.0,220000.0
Hồ Chí Minh,Tân Phú,Phú Thọ Hòa,Nguyễn Sơn,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",90.0,16.0,177777.77777777778
Hồ Chí Minh,Gò Vấp,Phường 14,59,"14, Đường Số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",30.0,6.5,216666.66666666663
Hồ Chí Minh,Quận 3,Phường 3,Bàn Cờ,"Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",40.0,28.0,700000.0
Hồ Chí Minh,Tân Phú,Hiệp Tân,Hòa Bình,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",44.0,22.0,500000.0
Hồ Chí Minh,Quận 1,Bến Thành,Lê Thánh Tôn,"Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",250.0,170.0,680000.0
Hồ Chí Minh,Quận 3,Phường 2,Hẻm 491/5 Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",200.0,28.0,140000.0
Đà Nẵng,Thanh Khê,An Khê,Nguyễn Phước Nguyên,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",225.0,7.0,31111.11111111111
Hồ Chí Minh,Quận 10,Phường 12,Sư Vạn Hạnh,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",400.0,59.0,147500.0
Hồ Chí Minh,Phú Nhuận,Phường 13,Lê Văn Sỹ,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",80.0,30.0,375000.0
Hà Nội,Nam Từ Liêm,Cầu Diễn,Phúc Diễn,"Đường Phú Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",150.0,21.0,140000.0
Cần Thơ,Ninh Kiều,An Hòa,Võ Văn Kiệt,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",450.0,32.99999999999999,73333.33333333333
Hà Nội,Cầu Giấy,Dịch Vọng,Thọ Tháp,"Thọ Tháp, Dịch Vọng Hậu",60.0,14.0,233333.3333333333
Đồng Nai,Biên Hòa,Tân Hòa,Hoàng Văn Bổn,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",1700.0,50.0,29411.76470588236
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Trần Quốc Thảo,"Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",40.0,19.0,475000.0
Hồ Chí Minh,Quận 7,Tân Quy,Mai Văn Vĩnh,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",225.0,20.0,88888.88888888889
Hồ Chí Minh,Thủ Đức,Bình Trưng Đông,Nguyễn Duy Trinh,"601, Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",142.0,55.0,387323.94366197183
Hà Nội,Bắc Từ Liêm,Phúc Diễn,Cầu Diễn,"Đường Cầu Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",300.0,24.0,80000.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thành Ý,"Đường Nguyễn Thành Ý, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",260.0,120.0,461538.4615384616
Hồ Chí Minh,Quận 11,Phường 12,3 Tháng 2,"1486A, Đường 3/2, Phường 2, Quận 11, Tp Hồ Chí Minh",20.0,4.0,200000.0
Hồ Chí Minh,Quận 10,Phường 15,Hẻm 575 Cách Mạng Tháng Tám,"Cách mạng tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",49.0,18.5,377551.02040816325
Hồ Chí Minh,Quận 3,Phường 2,Nguyễn Thị Minh Khai,"488, Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",528.0,205.0,388257.57575757575
Hồ Chí Minh,Quận 5,Phường 3,Nguyễn Trãi,"131-133, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",3200.0,700.0,218750.0
Đồng Nai,Biên Hòa,Trảng Dài,Tỉnh 768B,"Đường 768b, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",560.0,22.0,39285.71428571428
Hồ Chí Minh,Tân Bình,Phường 11,Bàu Cát,"bàu cát 8, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",130.0,25.0,192307.6923076923
Hồ Chí Minh,Tân Phú,Tân Thành,Lũy Bán Bích,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",32.0,13.0,406250.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thị Minh Khai,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",504.0,180.0,357142.8571428572
Hồ Chí Minh,Quận 10,Phường 12,3 Tháng 2,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",330.0,100.0,303030.30303030304
Hồ Chí Minh,Quận 1,Bến Nghé,Ngô Văn Năm,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",500.0,110.0,220000.0
Hồ Chí Minh,Tân Phú,Phú Thọ Hòa,Nguyễn Sơn,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",90.0,16.0,177777.77777777778
Hồ Chí Minh,Gò Vấp,Phường 14,59,"14, Đường Số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",30.0,6.5,216666.66666666663
Hồ Chí Minh,Quận 3,Phường 3,Bàn Cờ,"Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",40.0,28.0,700000.0
Hồ Chí Minh,Tân Phú,Hiệp Tân,Hòa Bình,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",44.0,22.0,500000.0
Hồ Chí Minh,Quận 1,Bến Thành,Lê Thánh Tôn,"Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",250.0,170.0,680000.0
Hồ Chí Minh,Quận 3,Phường 2,Hẻm 491/5 Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",200.0,28.0,140000.0
Đà Nẵng,Thanh Khê,An Khê,Nguyễn Phước Nguyên,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",225.0,7.0,31111.11111111111
Hồ Chí Minh,Quận 10,Phường 12,Sư Vạn Hạnh,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",400.0,59.0,147500.0
Hồ Chí Minh,Phú Nhuận,Phường 13,Lê Văn Sỹ,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",80.0,30.0,375000.0
Hà Nội,Nam Từ Liêm,Cầu Diễn,Phúc Diễn,"Đường Phú Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",150.0,21.0,140000.0
Cần Thơ,Ninh Kiều,An Hòa,Võ Văn Kiệt,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",450.0,32.99999999999999,73333.33333333333
Hà Nội,Cầu Giấy,Dịch Vọng,Thọ Tháp,"Thọ Tháp, Dịch Vọng Hậu",60.0,14.0,233333.3333333333
Đồng Nai,Biên Hòa,Tân Hòa,Hoàng Văn Bổn,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",1700.0,50.0,29411.76470588236
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Trần Quốc Thảo,"Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",40.0,19.0,475000.0
Hồ Chí Minh,Quận 7,Tân Quy,Mai Văn Vĩnh,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",225.0,20.0,88888.88888888889
Hồ Chí Minh,Thủ Đức,Bình Trưng Đông,Nguyễn Duy Trinh,"601, Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",142.0,55.0,387323.94366197183
Hà Nội,Bắc Từ Liêm,Phúc Diễn,Cầu Diễn,"Đường Cầu Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",300.0,24.0,80000.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thành Ý,"Đường Nguyễn Thành Ý, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",260.0,120.0,461538.4615384616
Hồ Chí Minh,Quận 11,Phường 12,3 Tháng 2,"1486A, Đường 3/2, Phường 2, Quận 11, Tp Hồ Chí Minh",20.0,4.0,200000.0
Hồ Chí Minh,Quận 10,Phường 15,Hẻm 575 Cách Mạng Tháng Tám,"Cách mạng tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",49.0,18.5,377551.02040816325
Hồ Chí Minh,Quận 3,Phường 2,Nguyễn Thị Minh Khai,"488, Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",528.0,205.0,388257.57575757575
Hồ Chí Minh,Quận 5,Phường 3,Nguyễn Trãi,"131-133, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",3200.0,700.0,218750.0
Đồng Nai,Biên Hòa,Trảng Dài,Tỉnh 768B,"Đường 768b, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",560.0,22.0,39285.71428571428
Hồ Chí Minh,Tân Bình,Phường 11,Bàu Cát,"bàu cát 8, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",130.0,25.0,192307.6923076923
Hồ Chí Minh,Tân Phú,Tân Thành,Lũy Bán Bích,"Đường Lũy Bán Bích, Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh",32.0,13.0,406250.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thị Minh Khai,"Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",504.0,180.0,357142.8571428572
Hồ Chí Minh,Quận 10,Phường 12,3 Tháng 2,"Đường 3 Tháng 2, Phường 8, Quận 10, Tp Hồ Chí Minh",330.0,100.0,303030.30303030304
Hồ Chí Minh,Quận 1,Bến Nghé,Ngô Văn Năm,"Ngô Văn Năm, Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",500.0,110.0,220000.0
Hồ Chí Minh,Tân Phú,Phú Thọ Hòa,Nguyễn Sơn,"Khu Văn Cao_Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Tp Hồ Chí Minh",90.0,16.0,177777.77777777778
Hồ Chí Minh,Gò Vấp,Phường 14,59,"14, Đường Số 59, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",30.0,6.5,216666.66666666663
Hồ Chí Minh,Quận 3,Phường 3,Bàn Cờ,"Bàn Cờ, Phường 3, Quận 3, Tp Hồ Chí Minh",40.0,28.0,700000.0
Hồ Chí Minh,Tân Phú,Hiệp Tân,Hòa Bình,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",44.0,22.0,500000.0
Hồ Chí Minh,Quận 1,Bến Thành,Lê Thánh Tôn,"Lê Thánh Tôn, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",250.0,170.0,680000.0
Hồ Chí Minh,Quận 3,Phường 2,Hẻm 491/5 Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Phường 3, Quận 3, Tp Hồ Chí Minh",200.0,28.0,140000.0
Đà Nẵng,Thanh Khê,An Khê,Nguyễn Phước Nguyên,"426, Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",225.0,7.0,31111.11111111111
Hồ Chí Minh,Quận 10,Phường 12,Sư Vạn Hạnh,"Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",400.0,59.0,147500.0
Hồ Chí Minh,Phú Nhuận,Phường 13,Lê Văn Sỹ,"Đường Lê Văn Sỹ, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",80.0,30.0,375000.0
Hà Nội,Nam Từ Liêm,Cầu Diễn,Phúc Diễn,"Đường Phú Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",150.0,21.0,140000.0
Cần Thơ,Ninh Kiều,An Hòa,Võ Văn Kiệt,"Võ Văn Kiệt, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",450.0,32.99999999999999,73333.33333333333
Hà Nội,Cầu Giấy,Dịch Vọng,Thọ Tháp,"Thọ Tháp, Dịch Vọng Hậu",60.0,14.0,233333.3333333333
Đồng Nai,Biên Hòa,Tân Hòa,Hoàng Văn Bổn,"Gần Đường Hoàng Văn Bổn, Phường Tân Hòa, Thành phố Biên Hòa, Đồng Nai",1700.0,50.0,29411.76470588236
Hồ Chí Minh,Quận 3,Võ Thị Sáu,Trần Quốc Thảo,"Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh",40.0,19.0,475000.0
Hồ Chí Minh,Quận 7,Tân Quy,Mai Văn Vĩnh,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",225.0,20.0,88888.88888888889
Hồ Chí Minh,Thủ Đức,Bình Trưng Đông,Nguyễn Duy Trinh,"601, Nguyễn Duy Trinh, Phường Bình Trưng Đông (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",142.0,55.0,387323.94366197183
Hà Nội,Bắc Từ Liêm,Phúc Diễn,Cầu Diễn,"Đường Cầu Diễn, Phường Phúc Diễn, Bắc Từ Liêm, Hà Nội",300.0,24.0,80000.0
Hồ Chí Minh,Quận 1,Đa Kao,Nguyễn Thành Ý,"Đường Nguyễn Thành Ý, Phường Đa Kao, Quận 1, Tp Hồ Chí Minh",260.0,120.0,461538.4615384616
Hồ Chí Minh,Quận 11,Phường 12,3 Tháng 2,"1486A, Đường 3/2, Phường 2, Quận 11, Tp Hồ Chí Minh",20.0,4.0,200000.0
Hồ Chí Minh,Quận 10,Phường 15,Hẻm 575 Cách Mạng Tháng Tám,"Cách mạng tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh",49.0,18.5,377551.02040816325
Hồ Chí Minh,Quận 3,Phường 2,Nguyễn Thị Minh Khai,"488, Nguyễn Thị Minh Khai, Phường 2, Quận 3, Tp Hồ Chí Minh",528.0,205.0,388257.57575757575
Hồ Chí Minh,Quận 5,Phường 3,Nguyễn Trãi,"131-133, Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",3200.0,700.0,218750.0
Đồng Nai,Biên Hòa,Trảng Dài,Tỉnh 768B,"Đường 768b, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",560.0,22.0,39285.71428571428
Hồ Chí Minh,Tân Bình,Phường 11,Bàu Cát,"bàu cát 8, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",130.0,25.0,192307.6923076923
